Giant Goose,309.666723907,10524,0,2553293.166987908
MUSTAAAAAARD,2414.215846721,15091,0.15,93182193.66412772
Doge Matrix,81.788310612,959,0.0081,978160.648158834
Gnome,292.795936258,5174,0,20792175.91261929
KETCHUUUUUUP,287.801121714,3924,0,9547038.890503189
yurang ,236.573755353,1497,0,2998484.372781599
Makik,53.015694103,186,0,174354.9614627663
Close my business at $50M MC,78.506331122,473,3.5548,551090.9300101304
autism space dog,61.198586189,129,0,163869.226898571
WOULD,169.755630618,1297,0,4912437.978441384
Machine Delusions,159.285409885,701,3.1252,978253.2447265774
Kim Jong Musk,40.475340207,170,0,194317.222393571
MUSTAAAAAARD,2413.829764774,15091,0.15,93182293.43283352
OIIA CAT,95.031123672,175,2,341698.1863050421
SWIDDY,54.181078992,1875,4.7547,5876709.69597425
IRL LIVE STREAM UNTIL 100M,189.892661656,1786,1.0624,3810465.389646562
power of irony man Elon,120.318521222,430,0,271876.5609051711
WOULD,170.375630618,1297,0,4912598.194680683
PA(JEET),72.739563272,128,0,76606.63416835673
MUSKWIFHAT,1590.803826126,377,0,777578.7321245167
Kim Jong Musk,40.220677126,170,0,194383.0307179681
Makik,53.015694103,186,0,174354.9614627663
imtellinggod,59.46067254,211,0,268478.6889158578
CATAR,74.392404933,220,0,120087.3619708093
mind zero,480.312184914,1658,2.1856,4942615.857626338
CHUGGER,55.080606796,269,1.759,213469.0360229848
Sprunki,67.671429689,360,1.759,101301.594615114
power of irony man Elon,120.318521222,430,0,271876.5609051711
Tenet Terminal,34.741635578,247,0.3565,141811.0453292804
BOOJI,198.43394564,869,3.5139,790413.3654382114
yurang ,236.475499901,1497,0,2998509.763296132
GYMGUY,57.360402897,220,0,146963.5323705551
I AM IRONYMAN,474.328876466,6826,0,30430437.97873572
Rizzyear,191.150112792,2267,0,1223405.536226497
autism space dog,61.19858619,129,0,163875.9470718234
Sasha - Dasha’s Lil Shi,74.799612086,261,3.5767,203205.8673433114
PA(JEET),74.916489987,129,0,77169.18096111093
